Date,Open,High,Low,Close,Adj Close,Volume,Adj Factor
1980-01-02,15.057360649,15.415869713,14.937858582,14.937858582,0.965844507,1723808.0,0.064657494
1980-01-03,14.937858582,15.17686367,14.639101028,15.17686367,0.981297977,2553495.0,0.064657494
1980-01-04,15.17686367,15.236616135,15.057360649,15.146988869,0.979366347,1978195.0,0.064657494
1980-01-07,15.146988869,15.146988869,14.967734337,15.087237358,0.975502964,1480718.0,0.064657494
1980-01-08,15.087237358,16.132886887,14.967734337,16.103010178,1.04118029,2968130.0,0.064657494
1980-01-09,16.103010178,16.252389908,15.625,15.625,1.010273349,3380672.0,0.064657494
1980-01-10,15.774378777,16.192638397,15.774378777,16.132886887,1.043112043,2219194.0,0.064657494
1980-01-11,16.132886887,16.312141418,15.684750557,16.013383865,1.035385277,2280280.0,0.064657494
1980-01-14,16.013383865,16.073135376,15.834130287,15.983509064,1.033453647,1663977.0,0.064657494
1980-01-15,15.983509064,16.790153503,15.893880844,16.760276794,1.083677502,3922500.0,0.064657494
1980-01-16,16.760276794,16.939531326,16.670650482,16.730401993,1.081745872,6284368.0,0.064657494
1980-01-17,16.730401993,16.820028305,16.551147461,16.551147461,1.070155724,2564792.0,0.064657494
1980-01-18,16.551147461,16.670650482,16.401769638,16.640773773,1.075950736,2732570.0,0.064657494
1980-01-21,16.640773773,16.700525284,16.49139595,16.49139595,1.066292341,1557285.0,0.064657494
1980-01-22,16.49139595,16.700525284,16.49139595,16.49139595,1.066292341,1766066.0,0.064657494
1980-01-23,16.49139595,17.029159546,16.49139595,17.029159546,1.101062787,2218357.0,0.064657494
1980-01-24,17.029159546,17.088909149,16.760276794,16.879779816,1.091404268,2291158.0,0.064657494
1980-01-25,16.879779816,16.909656525,16.700525284,16.760276794,1.083677502,1405406.0,0.064657494
1980-01-28,16.760276794,17.20841217,16.760276794,16.969406128,1.097199281,1522976.0,0.064657494
1980-01-29,16.969406128,17.059034348,16.581022263,16.820028305,1.087540885,1496617.0,0.064657494
1980-01-30,16.820028305,16.879779816,16.640773773,16.820028305,1.087540885,1452266.0,0.064657494
1980-01-31,16.820028305,16.999282837,16.312141418,16.401769638,1.060497328,2451824.0,0.064657494
1980-02-01,16.401769638,16.610898972,16.34201622,16.581022263,1.072087353,1513353.0,0.064657494
1980-02-04,16.581022263,16.640773773,16.401769638,16.521272659,1.068224094,1205829.0,0.064657494
1980-02-05,16.521272659,16.640773773,16.43164444,16.640773773,1.075950736,1595778.0,0.064657494
1980-02-06,16.49139595,16.49139595,16.192638397,16.34201622,1.056633822,2133003.0,0.064657494
1980-02-07,16.312141418,16.312141418,16.043260574,16.043260574,1.050530286,2145555.0,0.065481096
1980-02-08,16.043260574,16.162763596,15.834130287,16.073135376,1.052486521,2631318.0,0.065481096
1980-02-11,16.073135376,16.132886887,15.893880844,15.953633308,1.044661395,1663140.0,0.065481096
1980-02-12,15.953633308,16.461519241,15.864006042,16.461519241,1.077918322,1619626.0,0.065481096
1980-02-13,16.551147461,16.849903107,16.551147461,16.581022263,1.085743511,3376488.0,0.065481096
1980-02-14,16.581022263,16.790153503,16.282266617,16.282266617,1.066180664,2008320.0,0.065481096
1980-02-15,16.252389908,16.252389908,16.043260574,16.162763596,1.058355475,2438435.0,0.065481096
1980-02-19,16.162763596,16.192638397,15.864006042,16.013383865,1.048573927,1878616.0,0.065481096
1980-02-20,16.043260574,16.192638397,16.043260574,16.073135376,1.052486521,1112944.0,0.065481096
1980-02-21,16.043260574,16.043260574,15.744503021,15.834130287,1.036836206,1502056.0,0.065481096
1980-02-22,15.834130287,15.834130287,15.654875755,15.774378777,1.032923611,1910833.0,0.065481096
1980-02-25,15.744503021,15.744503021,15.505496979,15.565249443,1.019229593,2273167.0,0.065481096
1980-02-26,15.565249443,15.625,15.445746422,15.535372734,1.017273234,2209152.0,0.065481096
1980-02-27,15.535372734,15.565249443,14.81835556,14.81835556,0.970322163,2881521.0,0.065481096
1980-02-28,14.848231316,15.296366692,14.848231316,15.146988869,0.991841433,2885705.0,0.065481096
1980-02-29,15.146988869,15.236616135,15.057360649,15.17686367,0.993797667,2729223.0,0.065481096
1980-03-03,15.17686367,15.17686367,14.967734337,14.997610092,0.982059947,1424652.0,0.065481096
1980-03-04,14.997610092,15.146988869,14.878107071,15.117113113,0.989885135,1873177.0,0.065481096
1980-03-05,15.087237358,15.087237358,14.75860405,14.81835556,0.970322163,1917946.0,0.065481096
1980-03-06,14.81835556,14.878107071,14.489723206,14.609226227,0.956628145,2876082.0,0.065481096
1980-03-07,14.609226227,14.788479805,14.549473763,14.579350471,0.954671848,2616255.0,0.065481096
1980-03-10,14.609226227,14.878107071,14.609226227,14.728728294,0.964453272,2055599.0,0.065481096
1980-03-11,14.728728294,14.878107071,14.698852539,14.878107071,0.974234758,2101623.0,0.065481096
1980-03-12,14.848231316,14.848231316,14.549473763,14.668976784,0.960540677,2073590.0,0.065481096
1980-03-13,14.639101028,14.639101028,14.31046772,14.370220184,0.940977768,2347224.0,0.065481096
1980-03-14,14.370220184,14.519598007,14.250717163,14.31046772,0.937065111,2033006.0,0.065481096
1980-03-17,14.31046772,14.429970741,14.131214142,14.131214142,0.92532739,1735105.0,0.065481096
1980-03-18,14.131214142,14.40009594,14.011711121,14.250717163,0.933152579,2065222.0,0.065481096
1980-03-19,14.250717163,14.280592918,14.041586876,14.071462631,0.921414796,1541804.0,0.065481096
1980-03-20,14.071462631,14.161089897,13.862333298,13.922083855,0.91163331,2005391.0,0.065481096
1980-03-21,13.892208099,13.892208099,13.444072723,13.563575745,0.888157806,6192320.0,0.065481096
1980-03-24,13.473947525,13.473947525,12.906310081,12.936184883,0.847075565,3011643.0,0.065481096
1980-03-25,12.936184883,13.175190926,12.906310081,13.08556366,0.856857051,3138837.0,0.065481096
1980-03-26,13.08556366,13.354446411,12.547801018,12.667304039,0.829468952,3266030.0,0.065481096
1980-03-27,12.667304039,13.742830276,12.278920174,13.742830276,0.899895589,3578575.0,0.065481096
1980-03-28,13.473947525,13.473947525,12.936184883,13.354446411,0.874463788,2420026.0,0.065481096
1980-03-31,13.354446411,13.354446411,13.055687904,13.324569702,0.872507428,1627576.0,0.065481096
1980-04-01,13.324569702,13.324569702,13.025813103,13.115440369,0.85881341,2257268.0,0.065481096
1980-04-02,13.115440369,13.384321213,13.055687904,13.264818192,0.868594834,15629332.0,0.065481096
1980-04-03,13.264818192,13.354446411,13.055687904,13.115440369,0.85881341,1417539.0,0.065481096
1980-04-07,13.115440369,13.115440369,12.756931305,12.756931305,0.835337844,2294087.0,0.065481096
1980-04-08,12.756931305,13.324569702,12.667304039,12.78680706,0.837294141,2184048.0,0.065481096
1980-04-09,12.78680706,13.08556366,12.756931305,13.055687904,0.854900753,2145974.0,0.065481096
1980-04-10,13.055687904,13.205066681,12.906310081,12.966060638,0.849031862,2112502.0,0.065481096
1980-04-11,12.966060638,13.14531517,12.78680706,12.78680706,0.837294141,2726713.0,0.065481096
1980-04-14,12.78680706,12.846557617,12.607552528,12.667304039,0.829468952,1397874.0,0.065481096
1980-04-15,12.667304039,12.78680706,12.398423195,12.428297997,0.813818575,2426302.0,0.065481096
1980-04-16,12.428297997,12.637428284,12.189292908,12.219167709,0.800124494,2812903.0,0.065481096
1980-04-17,12.219167709,12.338670731,12.039914131,12.249044418,0.802080854,1886984.0,0.065481096
1980-04-18,12.249044418,12.36854744,12.159417152,12.249044418,0.802080854,1723390.0,0.065481096
1980-04-21,12.249044418,12.338670731,12.069789886,12.249044418,0.802080854,2777339.0,0.065481096
1980-04-22,12.428297997,13.025813103,12.428297997,12.876434326,0.843163033,3438411.0,0.065481096
1980-04-23,12.876434326,12.995937347,12.727054596,12.78680706,0.837294141,3185698.0,0.065481096
1980-04-24,12.78680706,12.966060638,12.727054596,12.846557617,0.841206673,1556448.0,0.065481096
1980-04-25,12.846557617,13.23494339,12.637428284,13.23494339,0.866638599,1706235.0,0.065481096
1980-04-28,13.23494339,13.23494339,12.995937347,13.025813103,0.852944519,1941376.0,0.065481096
1980-04-29,13.025813103,13.175190926,12.936184883,13.115440369,0.85881341,1250598.0,0.065481096
1980-04-30,13.115440369,13.175190926,12.816682816,13.115440369,0.85881341,1467747.0,0.065481096
1980-05-01,13.115440369,13.115440369,12.846557617,12.995937347,0.850988221,1221310.0,0.065481096
1980-05-02,12.995937347,12.995937347,12.876434326,12.906310081,0.84511933,1020059.0,0.065481096
1980-05-05,12.906310081,13.324569702,12.846557617,13.23494339,0.866638599,1442643.0,0.065481096
